Company,Ticker,Sector,Date,Current Close,Open,Previous Close,Price Change (%),Beta,P/E Ratio,Market Cap,52-Week High,52-Week Low,Dividend Yield,Average Volume,RSI Score,MACD,MACD Signal,MACD Hist,Price Change (%)_normalized,Beta_normalized,P/E Ratio_normalized,Market Cap_normalized,Dividend Yield_normalized,RSI Score_normalized,score
Agilent Technologies,A,Healthcare,2024-07-08,126.06999969482422,126.68000030517578,126.37000274658203,-0.237,1.049,29.874409,36782309376.0,155.35,96.8,0.0075,1993795,24.588161384441534,-1.691645423387513,-0.9305607532044565,-0.7610846701830564,0.30196320098600227,0.43288996372430466,0.21750008529136325,0.1249614095241476,0.02936194074749064,0.08827235909755234,0.46089567679376076
Alcoa Inc.,AA,Basic Materials,2024-07-08,41.65999984741211,42.540000915527344,42.439998626708984,-1.838,2.456,,7480510976.0,45.48,23.07,0.0095999995,5458854,40.062197001302515,0.2534010275351619,-0.12589431262744696,0.3792953401626089,0.1610176952196496,1.0,,0.02529891678884333,0.04121964476455986,0.3264385516289718,0.2776896493499319
Aaron's Inc,AAN,Industrials,2024-07-08,9.979999542236328,9.979999542236328,9.979999542236328,0.0,1.425,,314592544.0,16.16,6.622,0.050100002,564977,66.34623534518579,0.4727743608078274,0.4634436152405437,0.009330745567283694,0.32282771370719254,0.5844417573559049,,0.0009258976341219928,0.269904005087295,0.7309852058897041,0.2308860680799594
American Assets Trust,AAT,Real Estate,2024-07-08,21.979999542236328,21.93000030517578,21.790000915527344,0.872,1.308,24.696629,1694123776.0,23.92,17.15,0.061,296426,30.488292978702034,0.16438101357345047,0.12490380196536723,0.03947721160808325,0.39959503477418784,0.5372833534864974,0.17373200652319168,0.005618016510597689,0.33145113882263477,0.1790833092615933,0.5299363085621172
Alliance Capital Management L.P.,AB,Financial Services,2024-07-08,33.68000030517578,33.79999923706055,33.790000915527344,-0.326,1.253,13.917355,3878723584.0,35.43,25.83,0.08189999,243645,27.358826904045614,0.13930986187266825,0.11070463918355185,0.028605222689116402,0.29412800422572405,0.5151148730350664,0.08261416963253505,0.013048368037906917,0.4494634980540092,0.130916622941896,0.5588284660483578
Abbvie Inc. Common Stock,ABBV,Healthcare,2024-07-08,166.52000427246094,166.5399932861328,167.25,-0.436,0.623,49.55953,294052659200.0,182.89,132.7,0.0372,5546677,28.556387224447164,-0.8501214532854533,-0.3686998438386545,-0.4814216094467988,0.28444405317369487,0.26118500604594924,0.38389957049332024,1.0,0.1970637946321968,0.14934868480983957,0.5157704191051413
Abm Industries Incorporated,ABM,Industrials,2024-07-08,49.61000061035156,49.83000183105469,49.45000076293945,0.324,1.154,12.953003,3113702144.0,53.05,37.61,0.018099999,617459,57.214167209841015,-0.09369827706665035,0.06223541287443461,-0.15593368994108497,0.3513513513513513,0.47521160822249087,0.07446244547734814,0.010446345367982602,0.08921512200930987,0.5904304112915404,0.40370051867740187
Arbor Realty Trust,ABR,Real Estate,2024-07-08,14.890000343322754,14.739999771118164,14.739999771118164,1.018,1.993,9.30625,2806988544.0,17.74,11.77,0.1155,3733613,69.91674112730492,0.29920958777661966,0.22506394783186937,0.07414563994475029,0.4124482788977903,0.8133817009270456,0.04363622795708538,0.009403138343125759,0.639186863964604,0.7859400857021905,0.5266902497676409
Abbot Laboratories,ABT,Healthcare,2024-07-08,102.12000274658203,103.77999877929688,104.0199966430664,-1.827,0.718,31.813084,177651007488.0,121.64,89.67,0.0215,5658301,20.20023991002877,-1.0060926523651545,-0.8296140096528175,-0.17647864271233704,0.16198609032485253,0.2994760177347844,0.23388781905098321,0.6040898715580332,0.10841331968304235,0.020736353845695662,0.49351163635152495
Arch Coal,ACI,Consumer Defensive,2024-07-08,19.610000610351562,19.8799991607666,19.729999542236328,-0.608,0.333,8.793722,11355955200.0,23.88,19.471,0.024500001,2252139,65.96070833802835,-0.08000587600087528,-0.06616813860714571,-0.013837737393729566,0.2693018751650673,0.14429665457476826,0.03930379863894258,0.03848023851346747,0.1253529065300448,0.7250514274180642,0.3443376004364447
