Company,Ticker,Sector,Current Close,Open,Previous Close,Price Change (%),Beta,P/E Ratio,Market Cap,52-Week High,52-Week Low,Dividend Yield,Average Volume,RSI Score,Price Change (%)_normalized,Beta_normalized,P/E Ratio_normalized,Market Cap_normalized,Dividend Yield_normalized,RSI Score_normalized,score
Agilent Technologies,A,Healthcare,126.07,126.68,126.37,-0.237,1.049,29.874409,36782309376.0,155.35,96.8,0.0075,1993795.0,24.588161384441534,0.429125,0.9999414209174555,0.0,0.010614649476623503,0.005001027608412687,0.24588161384441534,0.26561260114648244
Alcoa Inc.,AA,Basic Materials,41.66,42.54,42.44,-1.838,2.456,,7480510976.0,45.48,23.07,0.0095999995,5458854.0,40.062197001302515,0.4109318181818182,0.9999513011343268,,0.002158727979096453,0.006439679043639103,0.40062197001302513,0.04327284522308253
Aaron's Inc,AAN,Industrials,9.98,9.98,9.98,0.0,1.425,,314592544.0,16.16,6.622,0.050100002,564977.0,66.34623534518579,0.4318181818181818,0.9999440612597039,,9.078515553671729e-05,0.03418510789888333,0.6634623534518579,0.03893195055171564
American Assets Trust,AAT,Real Estate,21.98,21.93,21.79,0.872,1.308,24.696629,1694123776.0,23.92,17.15,0.061,296426.0,30.488292978702034,0.44172727272727275,0.9999432396638447,0.0,0.00048889067936623,0.04165239432760156,0.30488292978702036,0.2856207208335674
Alliance Capital Management L.P.,AB,Financial Services,33.68,33.8,33.79,-0.326,1.253,13.917355,3878723584.0,35.43,25.83,0.08189999,243645.0,27.358826904045614,0.42811363636363636,0.999942853443569,0.0,0.0011193231268149392,0.05597039802699185,0.27358826904045613,0.2802464258363596
Abbvie Inc. Common Stock,ABBV,Healthcare,166.52,166.54,167.25,-0.436,0.623,49.55953,294052659200.0,182.89,132.7,0.0372,5546677.0,28.556387224447164,0.4268636363636364,0.9999384294658655,0.0,0.08485780179293548,0.02534767417962595,0.28556387224447166,0.2847037919720719
Abm Industries Incorporated,ABM,Industrials,49.61,49.83,49.45,0.324,1.154,12.953003,3113702144.0,53.05,37.61,0.018099999,617459.0,57.214167209841015,0.4355,0.9999421582470729,0.0,0.0008985530173405288,0.012262793039665685,0.5721416720984102,0.30344486366527784
Arbor Realty Trust,ABR,Real Estate,14.89,14.74,14.74,1.018,1.993,9.30625,2806988544.0,17.74,11.77,0.1155,3733613.0,69.91674112730492,0.44338636363636363,0.999948049861824,0.0,0.000810041517519961,0.07898883332191546,0.6991674112730492,0.2925584381207974
Abbot Laboratories,ABT,Healthcare,102.12,103.78,104.02,-1.827,0.718,31.813084,177651007488.0,121.64,89.67,0.0215,5658301.0,20.20023991002877,0.4110568181818182,0.9999390965736145,0.0,0.051266579314960974,0.014592039460163048,0.2020023991002877,0.2601101587134975
Arch Coal,ACI,Consumer Defensive,19.61,19.88,19.73,-0.608,0.333,8.793722,11355955200.0,23.88,19.471,0.024500001,2252139.0,65.96070833802835,0.42490909090909096,0.9999363930316847,0.0,0.0032771047994826254,0.0166472569706104,0.6596070833802835,0.28547846953120887
Aecom Technology Corp.,ACM,Industrials,83.42,84.4,84.44,-1.208,1.17,95.885056,11355714560.0,98.72,74.4,0.0105,776672.0,39.602054423821514,0.4180909090909091,0.9999422706020622,0.0,0.003277035355521494,0.007056244433787765,0.39602054423821514,0.29366247057338285
Accenture Plc.,ACN,Technology,299.47,300.46,299.14,0.11,1.227,27.398901,187583217664.0,387.51,278.69,0.0172,3540013.0,67.82938060732164,0.4330681818181818,0.9999426708667116,0.0,0.054132819413903,0.011646228677125437,0.6782938060732164,0.2870497266482282
Avenue Income Credit Strategies,ACP,Financial Services,6.69,6.68,6.68,0.15,1.003,6.4326925,348615904.0,7.17,5.55,0.17940001,362865.0,46.8860986145436,0.4335227272727273,0.9999410978968614,0.0,0.0001006036266528827,0.12276495855312736,0.468860986145436,0.3333695486036009
Ares Commercial Real Estate Cor,ACRE,Real Estate,6.76,6.7,6.65,1.654,1.497,,368465984.0,11.24,6.36,0.1479,571803.0,32.714641675467334,0.4506136363636363,0.9999445668571559,,0.00010633196850781921,0.10118517503596629,0.3271464167546733,0.05327454032380855
Actavis Inc.,ACT,Financial Services,30.19,30.58,30.47,-0.919,0.549,7.4727726,4748645376.0,31.85,25.97,0.024500001,189170.0,28.22918448292951,0.42137500000000006,0.9999379098240401,0.0,0.0013703654103540974,0.0166472569706104,0.2822918448292951,0.2731373159186125
Agree Realty Corp.,ADC,Real Estate,61.97,62.5,62.44,-0.753,0.591,36.66864,6257358848.0,69.26,52.69,0.0484,775270.0,64.25006082304192,0.42326136363636363,0.9999382047558869,0.0,0.001805750382543841,0.03302048366102624,0.6425006082304192,0.29177993419424164
Archer-Daniels-Midland Company,ADM,Consumer Defensive,63.38,61.36,61.36,3.292,0.73,11.061082,31337482240.0,87.3,50.72,0.031600002,4080860.0,51.76169650519216,0.46922727272727277,0.9999391808398566,0.0,0.009043379679421532,0.02151127080907036,0.5176169650519217,0.3220733719444771
Adt Corporation Common Stock W,ADT,Industrials,7.36,7.37,7.36,0.0,1.588,43.294117,6700353024.0,7.84,5.53,0.0299,5289860.0,36.02093423205111,0.4318181818181818,0.9999452058761574,0.0,0.0019335897705903332,0.020346646571213264,0.3602093423205111,0.2910827634405154
Adams Express Company,ADX,Financial Services,22.0,22.05,22.01,-0.045,0.947,4.8140044,2729144064.0,22.08,15.81,0.0091,160947.0,83.82455357868605,0.43130681818181815,0.9999407046543987,0.0,0.0007875771348595502,0.006097143248612729,0.8382455357868605,0.24835103146766924
Ameren Corp.,AEE,Utilities,70.71,70.46,70.45,0.369,0.451,16.21789,18856235008.0,88.72,67.03,0.0379,1653606.0,47.20363136218776,0.4360113636363636,0.9999372216497306,0.0,0.005441537726095596,0.025827224772213473,0.4720363136218776,0.31552484383190926
