Company,Ticker,Sector,Current Close,Open,Previous Close,Price Change (%),Beta,P/E Ratio,Market Cap,52-Week High,52-Week Low,Dividend Yield,Average Volume,RSI Score,Price Change (%)_normalized,Beta_normalized,P/E Ratio_normalized,Market Cap_normalized,Dividend Yield_normalized,RSI Score_normalized,score
Nvidia Corp.,NVDA,Technology,128.2,127.53,125.83,1.883,1.68,74.97076,3153502142464.0,140.76,39.23,0.00029999999,417336049.0,50.10797078307045,0.45321590909090914,0.9999458519173459,0.0,0.9100385646441561,6.850722066177982e-05,0.5010797078307045,0.40878941751430886
Claymore/Guggenheim Strategic Fund,GOF,Financial Services,15.21,15.17,15.15,0.396,,11.790698,1975048960.0,16.37,10.96,0.17930001,617031.0,61.14882547884137,0.4363181818181818,,0.0,0.0005699601506032699,0.12269645132561485,0.6114882547884136,0.36774636259522786
Cohen & Steers Preferred Fund,PSF,Financial Services,19.86,19.86,19.85,0.05,,13.791667,238880064.0,20.19,16.66,0.0921,28019.0,44.552957976605356,0.4323863636363636,,0.0,6.893602605587671e-05,0.06295814208398985,0.44552957976605356,0.3665623925180688
Legg Mason Bw Global Income Op,BWG,Financial Services,8.38,8.39,8.39,-0.119,,10.6075945,140715280.0,8.65,6.86,0.1354,42770.0,40.37549919898656,0.4304659090909091,,0.0,4.0607604161959806e-05,0.09262177159690346,0.4037549919898656,0.3638492998414064
Nuveen Core Equity Alpha Fund,JCE,Financial Services,14.82,14.88,14.89,-0.47,,5.8809524,238527888.0,15.09,11.64,0.1047,39311.0,58.58859281960654,0.42647727272727276,,0.0,6.883439500345254e-05,0.07159005275056518,0.5858859281960654,0.3611192992594912
Medifast Inc,MED,Consumer Cyclical,18.51,18.8,18.69,-0.963,1.182,2.9903069,202447568.0,109.52,18.32,0.3566,592539.0,47.77411537699583,0.420875,0.9999423548683041,0.0,5.842232577272385e-05,0.24415975885455915,0.4777411537699583,0.3575230392706504
Tortoise MLP Fund,NTG,Financial Services,43.13,43.47,43.56,-0.987,,28.94631,219652896.0,43.95,31.54,0.089499995,13426.0,59.083174698657494,0.4206022727272727,,0.0,6.338744432692167e-05,0.06117695074330341,0.5908317469865749,0.35716572040486927
Nuveen Mortgage Opportunity Term Fund,JLS,Financial Services,18.16,18.26,18.11,0.276,,12.18792,99455600.0,18.3,15.48,0.1092,16539.0,62.932275749991,0.4349545454545455,,0.0,2.8700873717282154e-05,0.0746728779886278,0.62932275749991,0.35431607600329706
Blackrock Multi-Sector Income T,BIT,Financial Services,14.7,14.58,14.62,0.547,,24.499998,558986624.0,15.98,13.65,0.108100004,110986.0,63.19976553847413,0.4380340909090909,,0.0,0.00016131247016530834,0.07391930122627936,0.6319976553847413,0.3541055740516878
Blacstone Gso Long Short Credit Fund,BGX,Financial Services,12.64,12.63,12.6,0.317,,6.5833335,160632912.0,12.83,10.9,0.120900005,49286.0,64.45679117478929,0.4354204545454545,,0.0,4.6355440192687286e-05,0.08268822703295198,0.6445679117478929,0.3529417667828493
