Ticker,Company,Sector,Current Close,Price Change (%),P/E Ratio,Dividend Yield,RSI Score,score
JKS,Jinkosolar Holding Company Limited,Technology,21.67,2.604,3.069405,0.071,45.517946162886474,1.854340559494602
ESE,Esco Technologies Inc.,Technology,106.84,4.072,28.041994,0.0031,55.167826729100966,1.7446079235412932
CGNX,Cognex Corp.,Technology,48.46,2.452,85.01754,0.0063,63.5711001925197,1.0954912398359729
TAIT,Taitron Components Inc.,Technology,2.735,1.673,10.129629,0.074,52.40309974283959,1.0744408509022936
ELTK,Eltek Ltd,Technology,9.56,1.594,8.93458,0.0233,22.25329565718131,1.00975751843446
ASX,Advanced Semiconductor Engineering,Technology,11.96,1.528,24.408163,0.0272,63.47727291248834,0.8482865333321911
BELFA,Bel Fuse Inc.,Technology,82.47,1.203,14.674377,0.0029,60.062437650369,0.781742008141398
MNDO,Mind C.T.I. Ltd,Technology,1.9,0.529,7.6,0.127,49.40787176789112,0.7374886572765507
LRCX,Lam Research Corp.,Technology,1112.55,0.993,40.887543,0.0073,68.54332025049254,0.5964474673052444
APH,Amphenol Corp.,Technology,68.62,0.927,42.09816,0.0128999995,66.36372180815077,0.5875365079191412
WEYS,Weyco Group,Consumer Cyclical,29.75,1.64,9.659091,0.0355,59.547741109682406,1.0240657037131191
AEO,American Eagle Outfitters,Consumer Cyclical,20.17,1.766,18.171171,0.0252,51.903549276560994,0.9499177400276324
MED,Medifast Inc,Consumer Cyclical,18.41,-0.54,2.9741518,0.3566,47.125170625819734,0.8094753575118723
WINA,Winmark Corp.,Consumer Cyclical,355.0,1.168,32.420094,0.010299999,69.25910357220042,0.6836555479449
DDS,Dillard's,Consumer Cyclical,435.0,0.611,9.893108,0.0023,41.3264742898827,0.6422919158960767
BWA,Borgwarner Inc.,Consumer Cyclical,31.66,0.732,10.8797245,0.0139999995,23.964319958955016,0.62251446294478
HTHT,China Lodging Group Limited,Consumer Cyclical,31.06,0.681,19.53459,0.0201,13.723562524375652,0.5245273812249986
SGC,Superior Uniform Group,Consumer Cyclical,19.07,0.74,26.486109,0.0296,19.424447825639533,0.5014566053214975
HOG,Harley-Davidson,Consumer Cyclical,31.83,0.0,6.995604,0.0217,25.933401018742387,0.46273645244153944
LVS,Las Vegas Sands,Consumer Cyclical,41.62,0.41,20.10628,0.019299999,22.602545039459315,0.42822784885159876
VBFC,Village Bank And Trust Financial,Financial Services,48.4999,7.229,33.680485,0.0153,49.96522482670578,2.4760540985772654
AGO,Assured Guaranty Ltd,Financial Services,80.7,5.215,6.280155,0.0162,46.25855570627499,2.2405382624871306
OVBC,Ohio Valley Banc,Financial Services,21.1187,5.173,8.762946,0.0417,51.50058348572184,2.139012906465052
ABCB,Ameris Bancorp,Financial Services,50.87,4.649,12.407317,0.0123000005,62.9532011696115,1.8172576597481789
CUBA,The Herzfeld Caribbean Basin Fund,Financial Services,2.33,0.0,2.1574073,0.23040001,22.579359345560363,1.5964113325349927
TV,Grupo Televisa S.A.,Communication Services,2.66,-1.481,0.14201815,0.037,41.57690305759695,20.866831028224354
SIRI,Sirius Xm Radio Inc.,Communication Services,3.43,5.538,10.393939,0.0327,68.2813774416754,2.1248284042420806
PBT,Permian Basin Royalty Trust,Energy,11.42,4.483,18.419355,0.0598,58.47994075186383,1.7254936917438422
NRT,North European Oil Royality Trust,Energy,6.58,3.785,14.0,0.2382,55.893354222209325,1.6147663105201775
TEO,Telecom Argentina Stet - France Telecom,Communication Services,7.2,3.3,9.230769,0.0232,39.84839822921494,1.511397337645752
