Company,Ticker,Sector,Current Close,Open,Previous Close,Price Change (%),Beta,P/E Ratio,Market Cap,52-Week High,52-Week Low,Dividend Yield,Average Volume,RSI Score
Agilent Technologies,A,Healthcare,127.1,126.42,125.42,1.339,1.049,30.190023,37082820608.0,155.35,96.8,0.0075,2002108.0,52.29191078402384
Alcoa Inc.,AA,Basic Materials,38.47,40.66,40.33,-4.612,2.456,,6907711488.0,45.48,23.07,0.0099,5420126.0,34.43159097742432
Aaron's Inc,AAN,Industrials,9.95,9.98,9.98,-0.301,1.425,,313646880.0,16.16,6.622,0.050100002,571760.0,84.69543485367937
American Assets Trust,AAT,Real Estate,22.11,22.19,22.04,0.318,1.308,24.842697,1704143744.0,23.92,17.15,0.0608,295034.0,75.83545137317275
Alliance Capital Management L.P.,AB,Financial Services,33.715,33.94,34.01,-0.867,1.253,13.931818,3882754304.0,35.43,25.83,0.081199996,243067.0,72.66178651626285
Abbvie Inc. Common Stock,ABBV,Healthcare,168.16,167.45,168.05,0.065,0.623,50.047623,296948695040.0,182.89,132.7,0.0369,5562960.0,37.8783400132332
Abm Industries Incorporated,ABM,Industrials,49.02,49.23,48.97,0.102,1.154,12.798956,3076671744.0,53.05,37.61,0.0184,625206.0,56.851252072818696
Arbor Realty Trust,ABR,Real Estate,15.075,15.02,14.85,1.515,1.993,9.421875,2841863680.0,17.74,11.77,0.1158,3658006.0,89.29232653070615
Abbot Laboratories,ABT,Healthcare,103.01,101.42,101.64,1.348,0.718,32.090343,179199279104.0,121.64,89.67,0.0216,5696062.0,28.439547490951668
Arch Coal,ACI,Consumer Defensive,19.33,19.58,19.45,-0.617,0.333,8.668161,11193808896.0,23.88,19.33,0.0247,2245221.0,20.14319187300393
Aecom Technology Corp.,ACM,Industrials,83.7275,82.38,82.37,1.648,1.17,96.2385,11397574656.0,98.72,74.4,0.0107,781204.0,60.140260788846405
Accenture Plc.,ACN,Technology,295.55,296.9,298.06,-0.842,1.227,27.089825,185127780352.0,387.51,278.69,0.0173,3545300.0,22.522795609637285
Avenue Income Credit Strategies,ACP,Financial Services,6.8197,6.74,6.76,0.883,,6.557404,355374560.0,7.17,5.55,0.1775,364039.0,60.94973109606334
Ares Commercial Real Estate Cor,ACRE,Real Estate,6.93,6.83,6.83,1.464,1.497,,377732128.0,11.24,6.36,0.1464,558780.0,70.4512637288936
Actavis Inc.,ACT,Financial Services,30.59,30.28,30.22,1.224,0.549,7.571782,4811562496.0,31.85,26.13,0.024500001,188083.0,79.35022795256299
Agree Realty Corp.,ADC,Real Estate,62.065,61.78,61.47,0.968,0.591,36.72485,6266951168.0,69.26,52.69,0.048800003,765936.0,61.382090168360506
Archer-Daniels-Midland Company,ADM,Consumer Defensive,64.24,63.5,63.13,1.758,0.73,11.211169,31762696192.0,87.3,50.72,0.0317,4085288.0,46.94243839497711
Adt Corporation Common Stock W,ADT,Industrials,7.205,7.21,7.16,0.628,1.588,42.38235,6559244800.0,7.84,5.53,0.0307,5320350.0,54.03552250622137
Adams Express Company,ADX,Financial Services,22.33,22.0,21.96,1.685,0.947,4.8862143,2770081024.0,22.33,15.81,0.0091,162090.0,90.78444874712007
Ameren Corp.,AEE,Utilities,71.83,71.7,71.36,0.659,0.451,16.474771,19154907136.0,88.72,67.03,0.0376,1657937.0,31.978490049056916
Aegon Nv,AEF,Financial Services,5.445,5.45,5.42,0.461,0.989,9.552632,276343552.0,5.52,4.4,0.0738,71767.0,89.99836240048371
Aegon Nv,AEG,Financial Services,6.35,6.32,6.25,1.6,1.152,,11232896000.0,6.96,4.63,0.0552,2510918.0,70.67335818525692
Agnico-Eagle Mines Limited,AEM,Basic Materials,73.28,70.99,70.2,4.387,1.052,92.75949,36523556864.0,73.33,43.22,0.0228,2585942.0,86.1510087765533
American Eagle Outfitters,AEO,Consumer Cyclical,20.18,20.32,20.17,0.05,1.486,18.18018,3963957504.0,26.44,12.04,0.0248,4731380.0,55.64792571838134
American Electric Power Company,AEP,Utilities,88.25,88.0,87.69,0.639,0.524,16.433893,46518513664.0,93.44,69.38,0.0401,2730427.0,42.181492218263685
Aercap Holdings N.V.,AER,Industrials,93.855,94.06,94.02,-0.175,1.83,6.2528315,18615484416.0,96.95,57.3,0.0106,1511886.0,67.3021533772457
The Aes Corp.,AES,Utilities,17.92,17.91,17.68,1.357,1.079,24.547945,12735153152.0,22.6,11.43,0.0383,7862744.0,30.620147867990624
Alliance National Municipal,AFB,Financial Services,11.19,11.16,11.13,0.539,0.537,58.894737,321655424.0,11.2,8.95,0.0352,65786.0,77.35557966929463
American Financial Group  ,AFG,Financial Services,122.71,121.53,121.13,1.304,0.772,11.742584,10291319808.0,137.72,105.22,0.0234,267040.0,44.998321229406145
Aflac Incorporated,AFL,Financial Services,90.219,88.93,88.93,1.449,0.947,9.925082,51264421888.0,91.15,69.0,0.0225,2233839.0,74.56352152632823
Apollo Senior Floating Rate Fund Inc.,AFT,Financial Services,15.12,14.97,15.0,0.8,0.483,6.5454545,235472832.0,15.14,12.54,0.116000004,99145.0,71.06316006031679
First Majestic Silver,AG,Basic Materials,6.525,6.41,6.32,3.244,1.349,,1902631296.0,8.44,4.17,0.0023,7341195.0,45.73387038370357
Agco Corp.,AGCO,Industrials,94.18,93.7,93.56,0.663,1.271,6.3721247,7027664896.0,140.46,92.75,0.0124,807088.0,54.89368295495199
Alpine Global Dynamic Dividend Fund,AGD,,9.965,9.97,9.87,0.963,,15.817461,247780720.0,10.0,8.2,,55739.0,66.44904771130516
Alamos Gold Inc.,AGI,Basic Materials,17.125,16.87,16.7,2.545,1.078,32.932693,6825065984.0,17.29,10.78,0.006,2189973.0,77.55405995276979
Federal Agricultural Mortgage Corp.,AGM,Financial Services,187.2181,183.0,183.08,2.26,1.05,11.415738,1969646720.0,199.4,140.44,0.0306,47804.0,88.92894241124151
Federal Agricultural Mortgage  ,AGM-A,Financial Services,140.0,132.0,140.0,0.0,1.05,8.541794,1926105984.0,160.48,112.39,0.04,988.0,39.00222642713624
Assured Guaranty Ltd,AGO,Financial Services,80.64,80.88,80.7,-0.074,1.109,6.275486,4390275584.0,96.6,55.24,0.0154,451308.0,78.87385817787785
Adecoagro S.A.,AGRO,Consumer Defensive,9.9,9.86,9.8,1.02,1.098,4.212766,1030936448.0,12.51,8.96,0.034,643527.0,65.78276153102917
Armada Hoffler Properties Inc.,AHH,Real Estate,11.04,11.08,10.99,0.455,1.056,122.666664,980162112.0,13.11,9.81,0.0746,416518.0,73.48202213873807
Aspen Insurance Holdings Limite,AHL-PC,Financial Services,26.1,26.33,26.23,-0.496,,,1558109952.0,26.58,24.65,0.0922,19692.0,55.261777643081686
Ashford Hospitality Trust Inc,AHT,Real Estate,1.01,1.02,1.0,1.0,2.325,,46847232.0,4.27,0.77,,388298.0,38.309540361772726
Ashford Hospitality Trust Inc 8,AHT-PD,Real Estate,15.07,15.6605,15.74,-4.257,2.325,,222591424.0,17.75,8.23,0.1342,2346.0,53.64215652025103
Arlington Asset Investment Corp,AI,Technology,29.9599,29.99,29.44,1.766,1.817,,3739534848.0,44.9,20.23,,5502444.0,61.093724155251564
Apollo Investment Corporation,AIB,Financial Services,11.73,11.74,11.73,0.0,-0.025,,42369112.0,12.25,10.62,,231.0,47.15621090256496
Apollo Tactical Income Fund Inc,AIF,Financial Services,15.203,15.23,15.2,0.02,0.603,6.3345833,219952448.0,15.45,12.49,0.115100004,90280.0,73.60649736097227
American International Group,AIG,Financial Services,75.96,75.67,75.75,0.277,1.089,11.3542595,50412216320.0,80.83,57.02,0.0211,4338373.0,67.79209257047798
Albany International Corp.,AIN,Consumer Cyclical,82.85,81.96,81.29,1.919,1.27,23.272472,2587935744.0,99.41,78.2,0.0128,162209.0,70.500721311201
Aar ,AIR,Industrials,72.27,72.25,71.94,0.459,1.546,42.76331,2560316416.0,73.95,55.0,,262914.0,77.06321031665686
Applied Industrial Technologies,AIT,Industrials,186.045,184.1,183.8,1.221,1.057,19.542542,7181820416.0,201.76,138.38,0.0081,264227.0,63.72548220357129
Apartment Investment And Management,AIV,Real Estate,8.305,8.39,8.32,-0.18,1.508,,1202788352.0,8.93,5.63,,997244.0,72.19242974822791
Assurant,AIZ,Financial Services,164.863,162.12,161.61,2.013,0.538,11.528881,8570535424.0,189.48,124.22,0.0178,346932.0,39.17988374654446
Arthur J. Gallagher & Co.,AJG,Financial Services,267.79,264.46,263.93,1.463,0.727,54.53972,58516402176.0,268.52,212.39,0.0091,834518.0,76.00252566876156
Acadia Realty Trust,AKR,Real Estate,18.84,18.62,18.49,1.893,1.485,209.33333,2075244800.0,18.86,13.24,0.038900003,895627.0,90.33520575028598
Air Lease Corporation Class A C,AL,Industrials,45.88,47.66,47.65,-3.715,1.604,9.268687,5109517824.0,52.31,33.33,0.0176,791837.0,63.310858193048325
Albemarle Corp.,ALB,Basic Materials,96.9499,91.04,90.47,7.162,1.575,35.126774,11394230272.0,246.71,90.32,0.0177,2765759.0,38.27840984124147
Allete,ALE,Utilities,63.185,62.91,62.66,0.838,0.787,15.188703,3643632640.0,65.86,49.29,0.045,504559.0,63.63691986717912
Alexander And Baldwin Inc,ALEX,Real Estate,16.95,16.93,16.89,0.355,1.282,23.873241,1230436096.0,19.99,15.53,0.052699998,288081.0,73.22922784998613
Alamo Group,ALG,Industrials,165.3,166.2,164.5,0.486,1.036,14.706407,1978657536.0,231.4,157.74,0.0063,73790.0,51.92221141780205
Alaska Air Group,ALK,Industrials,37.06,37.94,37.39,-0.883,1.604,19.608467,4702617600.0,57.18,30.75,,1832752.0,56.68910267660108
Allstate Corporation,ALL,Financial Services,160.01,159.29,158.72,0.813,0.481,35.013126,42229039104.0,177.37,100.57,0.0232,1434273.0,39.30377191173242
Allison Transmission Holdings,ALSN,Consumer Cyclical,75.04,74.31,74.3,0.996,0.991,10.072484,6564364288.0,83.42,50.14,0.0135,598867.0,62.401536847074645
Autoliv,ALV,Consumer Cyclical,106.95,106.41,106.4,0.517,1.616,16.763323,8564534272.0,129.38,89.37,0.0256,690713.0,45.555343194102015
Alexander's,ALX,Real Estate,224.12,224.8,222.76,0.611,0.785,10.713193,1144645760.0,237.18,162.5,0.0808,10085.0,77.71575285056379
